State,Population
Pennsylvania,10507
Minnesota,10360
Maryland,6309
New York,5084
New Jersey,4604
Georgia,4171
Rhode Island,2746
Texas,2568
Massachusetts,2378
North Carolina,2317
Virginia,2237
California,2189
Ohio,1653
Arizona,1318
Indiana,1304
Florida,1223
Iowa,1150
Delaware,1059
Michigan,839
Tennessee,768
Illinois,669
Oklahoma,665
Missouri,636
Washington,595
Kentucky,564
Oregon,474
Colorado,437
Connecticut,424
South Carolina,413
Utah,379
Wisconsin,354
South Dakota,347
North Dakota,290
Alabama,284
Nebraska,244
New Hampshire,197
District of Columbia,193
Nevada,186
Louisiana,114
Kansas,85
Montana,85
West Virginia,80
Hawaii,49
Idaho,26
Arkansas,24
New Mexico,15
Mississippi,7
Alaska,4
Vermont,3
